Date,WrappedBitcoin Return,WrappedBitcoin Price,Famala Index,US Treasury Yield,Famala Index Return
2020-05-07,0.06021489237247679,9921.69763392,7906.923616568444,0.63,0.08237062760806428
2020-05-08,-0.003386166661313066,9888.15792973,7791.91777535137,0.69,-0.014544954117943739
2020-05-09,-0.026675114342801183,9627.87713,7566.603299351785,0.69,-0.02891643398911834
2020-05-10,-0.10123270476417333,8700.93119063,6923.795701526345,0.69,-0.08495325741214795
2020-05-11,-0.0007510007773583289,8694.3992376,6799.19472968891,0.73,-0.017996049740457563
2020-05-12,0.005274772122125796,8740.38137836,6960.428922002935,0.69,0.023713718862910384
2020-05-13,0.06397992251587459,9317.86706854,7351.717391261176,0.64,0.05621614323527117
2020-05-14,0.04556098505420426,9752.21786284,7773.185796117204,0.63,0.05732924464112531
2020-05-15,-0.04270089425850086,9344.55516137,7428.354865343167,0.64,-0.04436159636712704
2020-05-16,0.005614841285221831,9397.17093185,7448.590232980073,0.64,0.0027240712114217107
2020-05-17,0.03658398989481069,9747.32286322,7700.5219718848675,0.64,0.033822741085865915
2020-05-18,0.002142101961685322,9768.22500191,7707.808290192141,0.73,0.000946210962565398
2020-05-19,-0.001793572635006148,9750.72068318,7712.985169362826,0.70,0.0006716408836053673
2020-05-20,-0.018863490877281813,9568.51200136,7534.203391250885,0.68,-0.023179323463772505
2020-05-21,-0.042740423032231085,9168.16616802,7182.7990158422135,0.68,-0.04664121170616934
2020-05-22,0.009708912074417316,9257.61259837,7225.026238429232,0.66,0.005878936956732739
2020-05-23,0.00303369135776076,9285.73998103,7248.7860410011035,0.66,0.0032885420464628234
2020-05-24,-0.05219217042619145,8813.52715197,6894.2670305339225,0.66,-0.0489073630345723
2020-05-25,0.017134491410471617,8965.84366369,6981.598417702633,0.66,0.012667247552485243
2020-05-26,-0.007286372043596781,8900.75261784,6934.948727137621,0.69,-0.006681806625646984
2020-05-27,0.03857478286172752,9250.80541686,7221.697302262089,0.68,0.041348333838774065
2020-05-28,0.035334516612671986,9583.52172305,7487.948612570995,0.70,0.03686824567203982
2020-05-29,-0.012596370677380404,9463.56125048,7408.263494166112,0.65,-0.010641782219379154
2020-05-30,0.020520123897093158,9659.76083522,7533.142964846577,0.65,0.01685678037488896
2020-05-31,-0.026173327312114723,9410.21275074,7364.379523858868,0.65,-0.022402792801788574
2020-06-01,0.06596102841120281,10051.8489304,7934.236297601477,0.66,0.07738014749191109
2020-06-02,-0.054550567622781904,9518.20254935,7388.655009636187,0.68,-0.0687629240548608
2020-06-03,0.019027860575898982,9701.04763913,7462.835378737976,0.77,0.010039766236892027
2020-06-04,0.011808134792023004,9816.27790564,7588.446970186532,0.82,0.016831617619012546
2020-06-05,-0.01030744393252808,9715.61684185,7476.507314191055,0.91,-0.014751326119199994
2020-06-06,-0.008476771893363398,9633.6078509,7463.41286284715,0.91,-0.0017514128982460768
2020-06-07,0.01400749544482483,9769.50010209,7547.079015593134,0.91,0.011210173453283498
2020-06-08,0.003543535912200151,9804.18008514,7552.741129772111,0.88,0.000750239154417068
2020-06-09,-0.004653176866217135,9758.66547706,7583.030631380219,0.84,0.004010398488134372
2020-06-10,0.01227684128221614,9879.20950013,7642.174377043253,0.75,0.007799486582354576
2020-06-11,-0.05691974361901012,9332.59167383,7245.020993224081,0.66,-0.051968636702690606
2020-06-12,0.015942335185369697,9482.56728271,7353.433641635782,0.71,0.014963745241469088
2020-06-13,-0.00042559964833954836,9478.5323641,7341.415733862447,0.71,-0.0016343259977608538
2020-06-14,-0.008626311762155463,9397.11924122,7286.278738484938,0.71,-0.007510403630077591
2020-06-15,-0.0069824266886232165,9331.7330877,7361.462272355103,0.71,0.010318509155168286
2020-06-16,0.018985065834729406,9510.58907901,7426.203001043171,0.75,0.008794547372903389
2020-06-17,-0.007813885983989069,9436.56400868,7365.359237975924,0.74,-0.008193118752436496
2020-06-18,-9.973668935481676e-05,9435.62288396,7311.2362953965585,0.71,-0.007348309950763367
2020-06-19,-0.02133867731217899,9236.41217747,7226.713437435551,0.70,-0.0115606792813175
2020-06-20,0.013212148576141447,9359.25474766,7253.432503363693,0.70,0.0036972637921040556
2020-06-21,0.005562484767298887,9411.46052193,7233.259260253427,0.70,-0.002781199535655886
2020-06-22,0.05176880827001157,9911.5124908,7487.270727097137,0.71,0.035117152269032635
2020-06-23,-0.01856272199956157,9729.22495058,7460.09813150884,0.72,-0.003629172308402909
2020-06-24,-0.040194029558519306,9345.9230224,7212.238375048772,0.69,-0.033224731376279876
2020-06-25,-0.005202839933002039,9297.42395673,7180.071349144558,0.68,-0.0044600613889160855
2020-06-26,-0.01348385266911659,9172.90027804,7100.042812497723,0.64,-0.011145924985323293
2020-06-27,-0.014378636721294148,9041.95017534,7040.563304371197,0.64,-0.008377344995980697
2020-06-28,0.011355017444703708,9145.20680829,7113.372284377292,0.64,0.010341357198065547
2020-06-29,0.0039234651446748816,9181.15818932,7135.290471744956,0.64,0.003081265325561839
2020-06-30,0.0005795104089962722,9186.48030802,7096.142749531155,0.66,-0.005486493138411533
2020-07-01,0.007330550952896553,9254.06970107,7145.966646054452,0.69,0.007021264690114859
2020-07-02,-0.002211746015177323,9233.62466723,7051.5412568798965,0.68,-0.01321380211404868
2020-07-03,-0.018382851256839406,9065.43495794,7034.037995919928,0.68,-0.0024821893997842275
2020-07-04,0.012175635955854178,9176.487087,7050.035141818575,0.68,0.0022742478655824174
2020-07-05,-0.00784634071466221,9104.7669809,7004.78191126266,0.68,-0.006418865955360494
2020-07-06,0.03878407250756846,9464.82403087,7189.90370562455,0.69,0.026427916915477523
2020-07-07,-0.016155934816965346,9313.13955235,7073.0250215458545,0.65,-0.016255945679392453
2020-07-08,0.013284199916779715,9437.68255559,7136.891714333919,0.67,0.009029614994081494
2020-07-09,-0.014832097519421205,9298.73491729,7015.478244717123,0.62,-0.017012093566299426
2020-07-10,-0.0035911733891511362,9265.40143688,7038.775372716518,0.65,0.003320818223182264
2020-07-11,-0.003261680120058361,9235.22989292,6991.664177772623,0.65,-0.006693095382260165
2020-07-12,0.007404500980986473,9303.86595603,7004.231073996425,0.65,0.0017974113035568984
2020-07-13,-0.011515836225209814,9197.33871182,6998.655755717276,0.64,-0.0007959929106061755
2020-07-14,0.0022162185091330893,9217.74462774,6979.627030831343,0.63,-0.0027189113952902095
2020-07-15,0.004415337022736284,9258.53406014,6934.662582244593,0.64,-0.0064422423129670454
2020-07-16,-0.00582696299954767,9204.7417997,6907.504957113229,0.62,-0.003916214352072225
2020-07-17,-0.007791735663831575,9133.29957565,6928.340841238132,0.64,0.003016412475165477
2020-07-18,-9.94764970310418e-05,9132.39107219,6916.7414045819505,0.64,-0.0016742012152665498
2020-07-19,0.0023635357036548986,9154.0013328,6929.410351330463,0.64,0.0018316351598918585
2020-07-20,-0.00316741703681768,9125.05266348,6941.313667721986,0.62,0.001717796434041212
2020-07-21,0.02506392929784391,9356.65261656,7090.118971796493,0.61,0.021437628552426653
2020-07-22,0.018751795328009583,9533.76202132,7158.2124609488565,0.60,0.009603998102603116
2020-07-23,0.013800723157582205,9666.2469226,7160.931822902967,0.59,0.0003798939985290531
2020-07-24,-0.0158683576727195,9514.07005082,7120.310162829681,0.59,-0.005672677952800055
2020-07-25,0.020085452095522316,9707.09647125,7121.226595373819,0.59,0.00012870682922241325
2020-07-26,0.023713972213711288,9940.04139565,7312.819538156486,0.59,0.02690448621690143
2020-07-27,0.1049494624750005,11039.9514996,8269.228102900404,0.62,0.1307851998471472
2020-07-28,-0.013264651088256404,10894.4773598,8181.389933927654,0.59,-0.010622293626407686
2020-07-29,0.02927945808288824,11218.1775105,8340.84889241789,0.58,0.019490448417446758
2020-07-30,0.0007591598121443378,11226.6971335,8287.317744659058,0.55,-0.006417949593535107
2020-07-31,0.059854297154236735,11919.1805283,8421.38558611298,0.55,0.016177470875944695
2020-08-01,0.000952305126486934,11930.5366314,8624.320231439553,0.55,0.02409753635568195
2020-08-02,-0.0924530494010558,10876.9749749,8062.229206951733,0.55,-0.06517511054827756
2020-08-03,0.022716746078561015,11126.892361,8140.599893319588,0.56,0.009720721695716436
2020-08-04,0.0015820820645580445,11144.5099504,8095.39552927533,0.52,-0.005552952440440417
2020-08-05,0.035902896429816804,11551.8996112,8548.892559471591,0.55,0.05601913193200785
2020-08-06,0.019852140376210813,11783.5210274,8586.775432172613,0.55,0.004431319312704502
2020-08-07,-0.018939452331157788,11562.4477047,8493.087517500417,0.57,-0.01091072142415304
2020-08-08,0.013926001532916505,11724.5927649,8550.800917408633,0.57,0.006795337948572285
2020-08-09,0.0017886903472467727,11745.5831979,8478.75126627434,0.57,-0.008426070473422807
2020-08-10,0.02209765157169006,12008.021964,8631.725115654082,0.59,0.018042025833240605
2020-08-11,-0.04292161500667915,11503.5226797,8297.791847656557,0.64,-0.038686735678354685
2020-08-12,0.011573340223676891,11637.4302457,8378.477123939192,0.69,0.009723704542603304
2020-08-13,0.02284850532011883,11906.3890855,8413.979586792457,0.71,0.004237340787364108
2020-08-14,0.003976081657090334,11953.824101,8370.77396054805,0.71,-0.005134981110749071
2020-08-15,-0.026086493608794524,11646.0229265,8428.93388276009,0.71,0.006947974283638701
2020-08-16,0.03297877110985939,12036.4977515,8427.040628650357,0.71,-0.00022461370987915798
2020-08-17,0.011896626288782507,12180.5466159,8762.583675278463,0.69,0.039817423626429836
2020-08-18,-0.004512516436973346,12125.7055278,8577.947829234186,0.67,-0.02107093671073099
2020-08-19,-0.029999996216473312,11767.3368151,8463.238782297954,0.68,-0.013372551246499345
2020-08-20,0.00035433027744620726,11771.5070776,8518.89001403096,0.65,0.006575642394659546
2020-08-21,-0.029422715911701664,11430.2030367,8408.010653459349,0.64,-0.0130157051433917
2020-08-22,0.022665529987045217,11692.2329523,8423.66105992896,0.64,0.0018613685346808937
2020-08-23,-0.006006829244784919,11622.2102233,8417.399368882296,0.64,-0.0007433455598600334
