Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2018-02-24,-0.04644284187648767,0.0409291982650756,5086.717465973996,2.88,-0.052211666326074595
2018-02-25,-0.02588599584489629,0.0398833006620407,4965.0102216475725,2.88,-0.023926480120145418
2018-02-26,0.04618713783361295,0.0417685993015766,5438.2511569428325,2.86,0.09531519859353306
2018-02-27,0.022784474503004696,0.0427311994135379,5694.983209240918,2.90,0.047208568506499404
2018-02-28,0.014388898111696599,0.0433504991233348,5541.189358363788,2.87,-0.027005145621426436
2018-03-01,0.11937065027621999,0.0488467998802661,5897.389454443781,2.81,0.0642822457497052
2018-03-02,0.08059311159843448,0.052946500480175,6039.861127676976,2.86,0.024158430494333485
2018-03-03,-0.07913858040878467,0.0489179007709026,6350.8143894566,2.86,0.0514835118235941
2018-03-04,-0.02309685674836437,0.0478009991347789,6279.381252152229,2.86,-0.011247870418471414
2018-03-05,-0.021669910770259582,0.0467762984335422,6383.164677064829,2.88,0.0165276514906671
2018-03-06,-0.06213748767525825,0.0439581982791423,5896.269550891499,2.88,-0.07627801424625301
2018-03-07,-0.12995575254245534,0.0386012010276317,5444.816205268908,2.89,-0.07656592727419208
2018-03-08,-0.05802532682828918,0.0364250987768173,5140.451381498829,2.86,-0.055899926149122814
2018-03-09,0.015135364369490905,0.0369805991649627,5040.705408647293,2.90,-0.0194041272738295
2018-03-10,-0.057113225722893936,0.034927699714899,4801.984691805678,2.90,-0.047358593190566296
2018-03-11,0.10296504005369266,0.0387157015502452,5241.022151446785,2.90,0.09142833387001416
2018-03-12,-0.06906911633823141,0.0361318998038768,5024.712939725387,2.87,-0.04127233304321869
2018-03-13,-0.011286264488787667,0.035726398229599,5030.490258330704,2.84,0.0011497808282025063
2018-03-14,-0.14008176419187152,0.0310564991086721,4548.478446599809,2.81,-0.09581805887262437
2018-03-15,-0.03065523512506514,0.0301188994199037,4594.016689662122,2.82,0.010011753072360925
2018-03-16,-6.61723018624478e-06,0.0301187001168727,4652.640574313758,2.85,0.0127609211310784
2018-03-17,-0.060233542168871716,0.0283580999821424,4474.21128042967,2.85,-0.03835011345367153
2018-03-18,0.009227986865124329,0.0286209993064403,4707.695814242081,2.85,0.052184512348283286
2018-03-19,0.12290288491409322,0.0323638990521431,4862.927343393988,2.85,0.03297399306945212
2018-03-20,0.16349870654846752,0.038112498819828,5085.720524544456,2.89,0.04581462263735436
