Date,Uniswap Return,Uniswap Price,Famala Index,US Treasury Yield,Famala Index Return
2020-12-19,0.050864064377458135,3.96389255,18091.877349244503,0.95,0.03763263972457608
2020-12-20,-0.05129577268287765,3.76568859,17855.814582418414,0.95,-0.013047997301172684
2020-12-21,-0.06654808414321589,3.52324575,17448.721514198256,0.95,-0.02279890768024657
2020-12-22,0.05719022144107435,3.73061416,18349.81362774357,0.93,0.051642300142854765
2020-12-23,-0.1184260259035149,3.31396994,18469.639082773218,0.96,0.00653006387206465
2020-12-24,0.06072098746043912,3.52143239,18593.48078966346,0.94,0.006705150346210605
2020-12-25,-0.005048631047032773,3.50369878,19419.23959231902,0.94,0.04441120046304717
2020-12-26,-0.027997650235862526,3.40696394,21122.36438265646,0.94,0.08770295985281955
2020-12-27,0.05362228698161804,3.59463998,20807.35686879412,0.94,-0.014913458936490646
2020-12-28,0.03652469227188506,3.72836028,21369.45749865822,0.94,0.027014513828381163
2020-12-29,-0.015557440754128642,3.6708054,21657.236591477405,0.94,0.01346684130082646
2020-12-30,0.12041954320207635,4.14055831,23046.257065918533,0.93,0.06413655170520405
2020-12-31,0.22172039901538904,5.16833732,23170.61056129895,0.93,0.005395821760762752
2021-01-01,-0.08730554192117863,4.7362491,23555.243422071697,0.93,0.01660003130928224
2021-01-02,0.022745891392547745,4.84521386,25982.07071893055,0.93,0.10302705233709755
2021-01-03,0.11707935627620983,5.44703128,25730.238133265524,0.93,-0.009692552544764683
2021-01-04,-0.0074566722732555685,5.40656561,24700.530927264488,0.93,-0.04001934224890719
2021-01-05,0.14964306621890996,6.27929137,26327.49286050957,0.96,0.06586748835626195
2021-01-06,0.020504586771715138,6.40937474,28312.957447579403,1.04,0.0754141154871594
2021-01-07,-0.022349911975521185,6.26771472,30613.656005900066,1.08,0.08125956331408817
2021-01-08,-0.06256138836668483,5.88761164,31992.056539181645,1.13,0.04502567524166095
2021-01-09,0.05993907673683852,6.25130035,31147.249761713552,1.13,-0.02640676683080478
2021-01-10,-0.04250397126585793,5.99116286,29525.37462552648,1.13,-0.05207121490966091
2021-01-11,-0.13177072372919874,5.25150553,27745.347103496188,1.15,-0.06028805881742655
2021-01-12,0.05444812748396811,5.5453677,26347.81826398747,1.15,-0.05036984523190977
2021-01-13,0.13152329187579592,6.32484939,29010.888179555786,1.10,0.10107364066679614
2021-01-14,0.08289913002748636,6.87152013,30354.9834937927,1.15,0.04633071920852494
2021-01-15,0.06868494975238275,7.36007632,28333.14549202909,1.11,-0.06660646025971512
2021-01-16,0.13438006316971002,8.41865743,27314.886291761573,1.11,-0.03593879827264433
2021-01-17,0.02850237732219214,8.6620615,26927.041145289306,1.11,-0.014199039393008393
2021-01-18,0.061948051152163404,9.21562851,27599.828048255935,1.11,0.02498554888881017
2021-01-19,-0.06434192121090475,8.64135045,26728.078998461697,1.10,-0.031585307280540285
2021-01-20,0.038721538205618335,8.9825195,26182.421091913217,1.10,-0.020415156157682898
2021-01-21,-0.16681644502203508,7.60239984,22931.78496207285,1.12,-0.1241533820890372
2021-01-22,0.13680870053504468,8.71697842,24427.168975770182,1.10,0.06521010100916991
2021-01-23,0.065244857704734,9.30468023,23490.796230977074,1.10,-0.038333248757640166
2021-01-24,0.2582573560864725,12.04650866,23194.578871910388,1.10,-0.012609932679764485
2021-01-25,-0.059362315599024155,11.35221143,23528.80065491074,1.05,0.014409478389155425
2021-01-26,0.19815053371468996,13.84000205,23602.983402170074,1.05,0.0031528486448309224
2021-01-27,0.06932392708574824,14.83348352,22104.913037031398,1.04,-0.06346953432170536
2021-01-28,-0.04330894404355917,14.20477366,24382.471337421895,1.07,0.10303403123889261
2021-01-29,0.10081982226623401,15.71157817,24929.55951278419,1.11,0.022437765548508303
2021-01-30,0.21408339561347728,19.46233967,24701.10857884349,1.11,-0.009163857621453313
2021-01-31,-0.09682277457139628,17.6662939,23796.192472362916,1.11,-0.03663463538861713
2021-02-01,0.14464434103218626,20.4156725,24074.041324423142,1.09,0.011676189473711886
2021-02-02,-0.06747029408431249,19.08366191,25401.0239332084,1.12,0.055120891042046635
2021-02-03,0.03512601834378783,19.7659071,26556.792746851013,1.15,0.0455008749521945
2021-02-04,0.019020116670428827,20.14545504,26154.46549246944,1.15,-0.015149692894646663
2021-02-05,0.050341753793676565,21.18557362,26713.16230072189,1.19,0.02136143093474093
2021-02-06,-0.0932102500116383,19.30009871,27779.685674518707,1.19,0.03992501381118753
2021-02-07,-0.03228938364615965,18.68686418,27546.861420413014,1.19,-0.008381097498135287
2021-02-08,0.034627689072533246,19.34528104,33589.00981039266,1.19,0.2193407189939337
2021-02-09,0.009700763052981145,19.53385822,33676.20690398403,1.18,0.0025960007181989376
2021-02-10,0.06000169739361103,20.74179976,32009.75597487166,1.15,-0.04948451985295354
2021-02-11,0.03845668392708339,21.55499681,34435.41381453678,1.16,0.07577870451650169
2021-02-12,0.05378254109834311,22.74602037,33571.250578379455,1.20,-0.025095189528186387
2021-02-13,-0.04217046206119894,21.80675402,33147.789998660046,1.20,-0.012613786273190727
2021-02-14,-0.040999222579917415,20.93077401,34904.67281951757,1.20,0.05300150691580166
2021-02-15,-0.04239077472087488,20.06204541,34361.11804622745,1.20,-0.015572550302954836
2021-02-16,0.019520757564037528,20.45751915,35482.430289240416,1.30,0.03263317105992936
2021-02-17,0.04916862806145588,21.4885262,37812.659591350544,1.29,0.0656727648899726
2021-02-18,-0.01532212101997881,21.16178597,37057.41820128988,1.29,-0.019973241719115156
2021-02-19,-0.05272613676161916,20.07491187,40616.229707666294,1.34,0.09603506339933143
2021-02-20,0.37265414331673274,29.14038501,40722.47488153494,1.34,0.00261583053457543
