Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2018-02-18,-0.08512888614233663,0.3856180012226105,5344.621699472676,2.87,-0.04382694977020377
2018-02-19,0.01506677791654175,0.3914720118045807,5780.377602430801,2.87,0.0815316644396214
2018-02-20,-0.03296111730286664,0.3787789940834045,6033.306605646748,2.88,0.04375648454342908
2018-02-21,-0.03858821291277868,0.3644410073757171,5632.773901955929,2.94,-0.06638693006517324
2018-02-22,-0.07570057078530726,0.3378709852695465,5271.564788593063,2.92,-0.06412632916748884
2018-02-23,0.021627834200951178,0.3452579975128174,5366.93403500366,2.88,0.018091259471374212
2018-02-24,-0.06674487286921785,0.3229660093784332,5086.717465973996,2.88,-0.052211666326074595
2018-02-25,0.06319050773623888,0.3440330028533935,4965.0102216475725,2.88,-0.023926480120145418
2018-02-26,-0.016701040436989258,0.3383350074291229,5438.2511569428325,2.86,0.09531519859353306
2018-02-27,-0.008307288396070332,0.3355360031127929,5694.983209240918,2.90,0.047208568506499404
2018-02-28,-0.07086561819894953,0.3125810027122497,5541.189358363788,2.87,-0.027005145621426436
2018-03-01,-0.026530916615585553,0.3043969869613647,5897.389454443781,2.81,0.0642822457497052
2018-03-02,-0.03644146084369831,0.293503999710083,6039.861127676976,2.86,0.024158430494333485
2018-03-03,0.01219770327551878,0.297105997800827,6350.8143894566,2.86,0.0514835118235941
2018-03-04,0.012313409118141936,0.3007870018482208,6279.381252152229,2.86,-0.011247870418471414
2018-03-05,-0.010578170335509994,0.2976219952106476,6383.164677064829,2.88,0.0165276514906671
2018-03-06,-0.042083186360755975,0.2853569984436035,5896.269550891499,2.88,-0.07627801424625301
2018-03-07,-0.14321568061733458,0.2472810000181198,5444.816205268908,2.89,-0.07656592727419208
2018-03-08,-0.1090062768490235,0.2217430025339126,5140.451381498829,2.86,-0.055899926149122814
2018-03-09,0.002090291829663255,0.2222069948911667,5040.705408647293,2.90,-0.0194041272738295
2018-03-10,-0.05710674361082595,0.2098730057477951,4801.984691805678,2.90,-0.047358593190566296
2018-03-11,0.06289985979276899,0.2234980016946792,5241.022151446785,2.90,0.09142833387001416
2018-03-12,0.0010017185053265792,0.2237219959497451,5024.712939725387,2.87,-0.04127233304321869
2018-03-13,-0.0031158017213651574,0.2230260074138641,5030.490258330704,2.84,0.0011497808282025063
2018-03-14,-0.11116343362181183,0.1995619982481002,4548.478446599809,2.81,-0.09581805887262437
2018-03-15,-0.07194402573354391,0.185708999633789,4594.016689662122,2.82,0.010011753072360925
2018-03-16,-0.03747695245923036,0.1788779944181442,4652.640574313758,2.85,0.0127609211310784
2018-03-17,-0.14480907500133225,0.1547629982233047,4474.21128042967,2.85,-0.03835011345367153
2018-03-18,0.008954233334403644,0.1561550050973892,4707.695814242081,2.85,0.052184512348283286
2018-03-19,0.23563855314873272,0.1976480036973953,4862.927343393988,2.85,0.03297399306945212
2018-03-20,0.036263694162560076,0.2049469947814941,5085.720524544456,2.89,0.04581462263735436
2018-03-21,0.039427739998557663,0.2131890058517456,5098.712842117788,2.89,0.0025546660518660264
2018-03-22,-0.04660647133326656,0.2034810036420822,5009.31815443372,2.83,-0.017532795129316714
2018-03-23,-0.07245624371941481,0.1892589926719665,5149.101205975292,2.82,0.02790460642190404
2018-03-24,-0.00030648058631825174,0.1892009973526001,5004.116926323857,2.82,-0.02815720139335918
2018-03-25,-0.024591507712750472,0.1846050024032592,4874.520825948751,2.82,-0.025897896128960093
2018-03-26,-0.0954098729392511,0.1678059995174408,4774.20824808104,2.85,-0.020578961799426938
2018-03-27,-0.07986095073338645,0.1549260020256042,4583.973794709995,2.78,-0.03984628308735989
2018-03-28,0.03258869441992446,0.1600580066442489,4670.361079444802,2.77,0.018845501436875644
2018-03-29,-0.08590676416062305,0.1468819975852966,4242.769784758394,2.74,-0.09155422619641197
2018-03-30,0.00222384306819097,0.1472090035676956,4004.3478273764104,2.74,-0.05619488435089832
2018-03-31,0.05748327491552662,0.155919000506401,4068.0586255499047,2.74,0.01591040561909347
2018-04-01,-0.03359443393018718,0.1507679969072342,4030.4279949980046,2.74,-0.009250267514719844
2018-04-02,0.036578733538061105,0.1563850045204162,4173.741523850956,2.73,0.03555789336289136
2018-04-03,0.0977689750470146,0.172446995973587,4338.3475704826715,2.79,0.03943848599417818
2018-04-04,-0.10437063086067908,0.1553560048341751,4018.073986939666,2.79,-0.07382386457970509
2018-04-05,-0.04339850334106276,0.1487579941749572,3965.740645551284,2.83,-0.013024484257503995
2018-04-06,-0.02938038546632097,0.1444510072469711,3887.6913500549954,2.77,-0.0196808874992477
2018-04-07,0.029622368090425576,0.1487939953804016,4062.727388485539,2.77,0.045023131383119586
2018-04-08,0.05112563049692575,0.1565990000963211,4105.3838623548045,2.77,0.010499467424312346
2018-04-09,-0.022557880363982447,0.15310600399971,3927.2433500285615,2.78,-0.04339192589510094
2018-04-10,0.02094741986246666,0.1563470065593719,3947.0009495834543,2.80,0.005030907889817691
2018-04-11,0.06008457154019809,0.166029006242752,3938.622984072683,2.79,-0.002122615529559377
2018-04-12,0.2455222510279864,0.2122330069541931,4439.364149198855,2.83,0.1271360998884912
2018-04-13,-0.05671090438310737,0.200532004237175,4446.517797916374,2.82,0.0016114129134484196
2018-04-14,0.0015994662254132342,0.2008530050516128,4497.315165436312,2.82,0.011424078307690964
2018-04-15,0.09735250278427285,0.2213899940252304,4636.374344051205,2.82,0.03092048777982462
2018-04-16,0.14777190675023205,0.2566460072994232,4467.245487678745,2.83,-0.03647868869550286
2018-04-17,-0.05166128028638598,0.2437240034341812,4353.159881972387,2.82,-0.025538244097178357
2018-04-18,0.06595581489893863,0.2603409886360168,4427.301772963487,2.87,0.017031740850627045
2018-04-19,0.04512511187666353,0.2723580002784729,4389.394054923071,2.92,-0.008562262069396153
