Date,Monero Return,Monero Price,Famala Index,US Treasury Yield,Famala Index Return
2019-05-25,0.016404799418075645,86.9932903745,5517.842423477433,2.32,0.008676770353862797
2019-05-26,0.055905271340056586,91.9951874071,5965.044958241472,2.32,0.08104663026643755
2019-05-27,0.06288441268934655,97.9660193855,5984.657798556042,2.32,0.0032879618597797477
2019-05-28,-0.019637464954563297,96.0609813911,5896.4177498051395,2.26,-0.014744376657959022
2019-05-29,-0.0218042360403058,93.9891148957,5856.872207386668,2.25,-0.006706706359090307
2019-05-30,-0.021773345809264686,91.9647756876,5644.998533088032,2.22,-0.036175225751284484
2019-05-31,0.013521352077167032,93.2167086376,5774.543123163065,2.14,0.022948560449698993
2019-06-01,-0.0026589520820920567,92.9691791065,5796.026143198644,2.14,0.0037202977928081624
2019-06-02,0.021028624030200165,94.9448934928,5910.817189239492,2.14,0.019805129101349923
2019-06-03,-0.05671885773830654,89.709600925,5557.633178805954,2.07,-0.05975214579068717
2019-06-04,-0.07360611177254796,83.3435886388,5204.712044321646,2.12,-0.06350205620446009
2019-06-05,0.019511045700313732,84.9856765393,5282.587966202088,2.12,0.014962580295946337
2019-06-06,0.0226876722084544,86.9358424231,5246.945347693587,2.12,-0.006747188828002859
2019-06-07,0.015196530713201194,88.2670549098,5411.205243920788,2.09,0.031305814210434935
2019-06-08,-0.008225076310174235,87.5440291945,5366.555078637624,2.09,-0.008251427042677062
2019-06-09,-0.043898431385472905,83.7841145951,5215.423330625479,2.09,-0.028161780844055382
2019-06-10,0.03673082018966937,86.9187910395,5401.682338624626,2.15,0.035713114006568875
2019-06-11,-0.0023473076904273423,86.7150051605,5340.719679754666,2.15,-0.011285865226477301
2019-06-12,0.03867622675738724,90.1345149864,5469.822390375397,2.13,0.02417327970051064
2019-06-13,-0.00974142788041252,89.2607389321,5563.600287345843,2.10,0.01714459634657532
2019-06-14,0.013860514119714968,90.5065525281,5946.025335978251,2.09,0.06873697406016327
2019-06-15,0.0452153797104007,94.6927681535,6038.428494084223,2.09,0.015540323642225
2019-06-16,0.012284551533266776,95.8632007443,6151.465008601328,2.09,0.018719525225453268
2019-06-17,0.02560043526754196,98.3490237224,6399.544361483166,2.09,0.04032849939566574
2019-06-18,-0.02164113176401833,96.2435046233,6252.379839736155,2.06,-0.022996093695786715
2019-06-19,0.04235264705802501,100.407221656,6396.7234028666035,2.03,0.023086179475708155
2019-06-20,0.04453547272775508,104.979973799,6635.23437301419,2.01,0.03728642855507889
2019-06-21,0.039723775269169315,109.234110474,7098.185090733265,2.07,0.06977156972810436
2019-06-22,0.04887770438810681,114.705856934,7490.489983833399,2.07,0.055268338044930816
2019-06-23,0.0037137609404683607,115.132639058,7654.991002097721,2.07,0.021961316098060686
2019-06-24,0.019640462814830385,117.41624955,7785.174079135217,2.02,0.01700630046486285
2019-06-25,-0.04440130542558292,112.316862267,8475.31134222765,2.00,0.08864763408978177
2019-06-26,-0.07772131091071038,103.918058892,9581.508212543664,2.05,0.13051990961139867
2019-06-27,-0.0959074374076037,94.4145559747,8186.468353762968,2.01,-0.14559710515661559
2019-06-28,0.07376512931672997,101.642360797,9198.872323283775,2.00,0.12366797570962917
2019-06-29,-0.016669110161243433,99.9621160857,8711.835597186422,2.00,-0.05294526426511943
2019-06-30,-0.1303570900702158,87.7449389586,7862.266983314345,2.00,-0.09751889878941858
2019-07-01,0.007700459043779815,88.4232234667,7612.8645160495225,2.03,-0.03172144469198464
2019-07-02,-0.024711751012211732,86.2649084897,7843.95697140272,1.98,0.030355519248504437
2019-07-03,0.04240672112039669,90.0017949616,8846.956152737432,1.96,0.12786903153490234
2019-07-04,-0.024503150870057007,87.8232668019,8267.56545929298,1.96,-0.06549039957264575
2019-07-05,0.01475840964758763,89.1290101976,8049.449809503301,2.04,-0.026382089245451434
2019-07-06,0.05256619454807054,93.9395102804,8249.127722295872,2.04,0.02480640509825011
2019-07-07,0.13188866695527224,107.18322299,8382.303818436056,2.04,0.016144264051122986
2019-07-08,-0.05362916683607834,101.586491395,9123.544201412888,2.05,0.08842919548520137
2019-07-09,-0.021576547368780424,99.418083157,9434.798795257248,2.07,0.03411553525395959
2019-07-10,-0.046120151430425284,94.9370337098,9205.903266794916,2.07,-0.024260774758375823
2019-07-11,-0.06328985152765366,89.1146744449,8629.88243276305,2.13,-0.06257081106962474
2019-07-12,0.09759574618862871,98.2504433744,8984.031004804363,2.12,0.04103747354619805
2019-07-13,-0.05101393543427813,93.3639996321,8650.80078317355,2.12,-0.03709139265577023
2019-07-14,-0.08312151018635078,85.9172237183,7836.000128426814,2.12,-0.09418788793883502
2019-07-15,0.040810303807173695,89.496061761,8403.42124355081,2.09,0.07241208599085547
2019-07-16,-0.1899103719965224,74.0162193539,7287.952639902752,2.13,-0.13273981766701545
2019-07-17,0.03246388317941506,76.4585017471,7387.763173588757,2.06,0.013695277482941652
2019-07-18,0.09550869420112026,84.1210495038,8174.754418570441,2.04,0.10652632285170922
2019-07-19,-0.02192637326439645,82.2966542503,8072.005442025731,2.05,-0.01256905972750654
2019-07-20,0.03610900444916974,85.3226078122,8227.34968010019,2.05,0.019244813347830618
2019-07-21,-0.016130433724040775,83.9573577813,8091.386422632538,2.05,-0.016525766225363097
2019-07-22,-0.009287352141882406,83.1812259184,7914.843775218639,2.05,-0.02181859055947303
2019-07-23,-0.02826898865879385,80.8627023438,7555.143082127462,2.08,-0.045446341495381085
2019-07-24,-0.0046399831985048145,80.4883698833,7424.484530315485,2.05,-0.017293987736786066
2019-07-25,0.002413709443681101,80.6828800729,7517.832978239039,2.08,0.012573054404301839
2019-07-26,-0.004832810388904856,80.2938957128,7458.043514251611,2.08,-0.007953018397787472
2019-07-27,-0.017946614236733008,78.865745701,7183.577524168423,2.08,-0.03680133932695742
2019-07-28,0.007892778092502746,79.4906785147,7238.8519258293045,2.08,0.007694550726976372
2019-07-29,-0.019465075116084727,77.9583483291,7210.597677882074,2.06,-0.0039031393702660252
2019-07-30,0.005351071520668945,78.3766271485,7283.437556730939,2.06,0.01010178103159122
2019-07-31,0.028979799739517344,80.681197821,7676.038700234516,2.02,0.05390327581524433
2019-08-01,0.015800079129233032,81.9660911084,7983.244290340236,1.90,0.0400213706708298
2019-08-02,0.02347143853523805,83.9127087697,8115.582197112169,1.86,0.01657695818378776
2019-08-03,0.04975872646903535,88.1937239698,8374.3720207126,1.86,0.03188801706580205
2019-08-04,-0.00015438783065605972,88.1801089831,8514.251696153815,1.86,0.016703303256082408
2019-08-05,0.06022687697541148,93.6541079472,9238.692101108078,1.75,0.08508562241371344
2019-08-06,-0.04265028235362381,89.7437162031,9007.87292427342,1.73,-0.024983966811381528
2019-08-07,0.08274892827987686,97.4858207036,9450.083315951164,1.71,0.04909154418532299
2019-08-08,-0.024200494148384526,95.1549337369,9509.718637940074,1.72,0.006310560446408861
2019-08-09,-0.01901284945375743,93.3628575288,9502.485357375108,1.74,-0.0007606198290775692
2019-08-10,-0.026905872184404104,90.8843412584,9010.35519527051,1.74,-0.05178962593429776
2019-08-11,0.014952820466180582,92.2535295992,9110.81403499975,1.74,0.011149265212316078
2019-08-12,-0.01168315716940619,91.1819887917,9014.111155978442,1.65,-0.010614076705969193
2019-08-13,-0.06405862247392373,85.5241475697,8576.247009707839,1.68,-0.04857541012018677
2019-08-14,-0.08589507295256682,78.4846991757,7957.283900528868,1.59,-0.07217179128333623
2019-08-15,0.050218556048253205,82.5267304964,8189.562468196434,1.52,0.02919068498387091
2019-08-16,-0.00033973560107350333,82.4986979901,8275.13315691673,1.55,0.010448749741222972
2019-08-17,-0.006198772516477988,81.9888890556,8137.572651317127,1.55,-0.016623358560052242
2019-08-18,0.071034501937693,88.0247689926,8163.176902394023,1.55,0.0031464236540797432
2019-08-19,0.02389529459178172,90.1534785627,8669.369082073268,1.60,0.062009213536802485
2019-08-20,-0.050181714035351155,85.7410597603,8573.270892778848,1.55,-0.011084796181204726
2019-08-21,-0.062261517996193796,80.5654826852,8050.644662031919,1.59,-0.060959957673462746
2019-08-22,0.020735815526704948,82.2535145469,8007.752717488915,1.62,-0.005327765209324131
2019-08-23,-0.0010326206735687786,82.1686217059,8242.43190014961,1.52,0.02930649720840607
2019-08-24,-0.017577615993526013,80.7369131019,8032.170364661551,1.52,-0.025509647884897
2019-08-25,-0.004516315412054191,80.3731018984,8037.697022272203,1.52,0.0006880652874305959
2019-08-26,-0.008354428616924597,79.7044276408,8246.978683068777,1.54,0.02603751549936025
